"id","title","parentLabel","emotion1","emotion2","emotion3","lifeDomains"
"SIT149","Overheard talk about politics, protests, or injustice","Overheard grown-ups talk about something unfair in the world","Worried","Confused About Right and Wrong","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_CARING"
"SIT150","Best friend makes a new best friend","Your best friend made a new best friend","Jealous","Left Out","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_PLAY"
"SIT151","Friends don't reply to messages","Friends aren't replying to your messages","Worried","Left Out","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT152","Accidentally left out of a game","Accidentally left out of a game","Left Out","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_PLAY; LIFE_DOMAIN_COMMUNICATION"
"SIT153","A secret wasn't shared with them","Friends made a plan without telling you","Left Out","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT154","Friend copies their work or idea","A friend copied your idea","Angry","Frustrated","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_COMMUNICATION"
"SIT155","A friend wins while they lose","Lost a game while your friend won","Disappointed","Jealous","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION"
"SIT156","Friend breaks a promise","A friend broke a promise to you","Sad","Angry","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT157","Rumours or gossip spread about them","Rumours are being spread about you","Embarrassed","Angry","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_RESPONSIBILITY"
"SIT158","Friend apologises after hurting them","A friend apologised after hurting you","Sad","Torn Between Two Choices","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_CARING"
"SIT159","They hurt a friend's feelings by mistake","Accidentally hurt a friend's feelings","Guilty","Sad","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT160","Asked to choose between two friends","Asked to choose between two friends","Torn Between Two Choices","","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_LEARNING"
"SIT161","Lost during a team game because of their mistake","Made a mistake that lost the game for the team","Guilty","Not Good Enough","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT162","Teammate isn't doing their part","A teammate isn't doing their part","Frustrated","","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_RESPONSIBILITY"
"SIT163","Friend gets a pet they always wanted","A friend got the pet they always wanted","Jealous","","","LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT164","A younger child wants to join the game","A younger child wants to join your game","Torn Between Two Choices","Frustrated","","LIFE_DOMAIN_PLAY; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_CARING"
"SIT165","Friend is nervous before a performance","A friend is nervous before a performance","Worried","","","LIFE_DOMAIN_CARING; LIFE_DOMAIN_CREATIVITY; LIFE_DOMAIN_COMMUNICATION"
"SIT166","Classmate is new and sitting alone","A new classmate is sitting alone","Confused About Right and Wrong","Unsure","","LIFE_DOMAIN_SCHOOL; LIFE_DOMAIN_CARING; LIFE_DOMAIN_COMMUNICATION"
"SIT167","Friend keeps interrupting while talking","A friend keeps interrupting you","Frustrated","","","LIFE_DOMAIN_COMMUNICATION; LIFE_DOMAIN_FRIENDSHIP; LIFE_DOMAIN_SCHOOL"
"SIT168","Group project where everyone has different ideas","A group project where everyone wants something different","Frustrated","Torn Between Two Choices","","LIFE_DOMAIN_LEARNING; LIFE_DOMAIN_BUILDING; LIFE_DOMAIN_COMMUNICATION"
